,,u_-2_0,u_-1_0,u_0_0,u_1_0,u_2_0,u_-2_1,u_-1_1,u_0_1,u_1_1,u_2_1,u_-2_2,u_-1_2,u_0_2,u_1_2,u_2_2,u_-2_3,u_-1_3,u_0_3,u_1_3,u_2_3
alpha_100,sigma,-2.133639E-01,9.435880E-02,2.384559E-02,-1.383064E-03,2.739438E-05,-5.739276E+00,2.502092E+00,-3.917396E-01,2.467100E-02,-5.049251E-04,4.311583E+01,-1.768581E+01,2.575173E+00,-1.527664E-01,3.144354E-03,-8.245842E+01,3.333316E+01,-4.815319E+00,2.851969E-01,-5.813774E-03
alpha_100,lambda,3.563006E+02,-2.105085E+02,3.309980E+01,-1.076500E+00,2.070274E-02,2.837665E+03,-1.121241E+03,1.429594E+02,-4.706421E+00,2.109161E-02,7.033961E+03,-2.197893E+03,2.767265E+02,-1.819418E+01,5.700836E-01,-4.452134E+04,1.665039E+04,-2.183447E+03,1.246542E+02,-2.551324E+00
alpha_100,b,2.516481E+00,-7.561950E-01,1.192592E+00,-3.129983E-03,5.917487E-05,-3.627233E+01,1.175342E+01,-1.119379E+00,3.477656E-02,-5.025095E-04,5.457290E+01,-1.369800E+01,3.540226E-01,4.919689E-02,-1.396777E-03,3.410275E+01,-1.994358E+01,3.681909E+00,-2.765297E-01,5.580525E-03
alpha_102,a,-6.856340E+05,2.622682E+05,-3.660467E+04,2.244870E+03,-3.185355E+01,6.137201E+06,-2.169883E+06,2.585220E+05,-1.154581E+04,7.409787E+01,-1.448812E+07,4.650962E+06,-4.465311E+05,8.896180E+03,4.562999E+02,7.551852E+06,-1.680629E+06,-2.437155E+04,2.416801E+04,-1.309850E+03
alpha_102,mu,2.029208E+00,-1.334342E+00,1.200288E+00,-1.021684E-02,1.754883E-04,-2.053434E+01,9.208884E+00,-1.457484E+00,8.575801E-02,-1.651634E-03,1.027277E+02,-4.345086E+01,6.565071E+00,-3.852125E-01,7.595296E-03,-1.842434E+02,7.522177E+01,-1.102229E+01,6.226352E-01,-1.209212E-02
alpha_102,sigma,1.210979E+00,-4.355484E-01,9.141676E-02,-4.700571E-03,8.333417E-05,-1.655155E+01,6.928412E+00,-1.013362E+00,5.926035E-02,-1.150481E-03,8.318280E+01,-3.463883E+01,5.056228E+00,-2.969691E-01,5.950188E-03,-1.396380E+02,5.725550E+01,-8.294319E+00,4.880913E-01,-9.796721E-03
alpha_102,lambda,3.515798E+03,-1.375287E+03,1.888200E+02,-9.350304E+00,1.589895E-01,-1.692544E+04,5.801024E+03,-6.929186E+02,3.810435E+01,-6.389577E-01,4.885005E+04,-1.418989E+04,1.327130E+03,-4.527833E+01,5.316141E-01,-5.412375E+04,1.444085E+04,-1.022751E+03,1.249375E+01,2.941542E-01
alpha_102,b,9.896044E-01,-5.359205E-01,1.211318E+00,-6.516893E-03,1.397498E-04,-2.115083E+01,1.077992E+01,-1.550286E+00,8.464037E-02,-1.657651E-03,5.515001E+01,-3.270858E+01,4.342327E+00,-2.489795E-01,4.841110E-03,-3.356090E+01,2.409815E+01,-3.469486E+00,1.856456E-01,-3.717749E-03
alpha_102,c,-1.101988E+00,-9.581669E-02,1.030873E+00,5.216245E-04,-2.163505E-05,1.656226E+01,-6.404897E+00,8.220129E-01,-5.034733E-02,1.015738E-03,-9.621431E+01,3.594247E+01,-4.996712E+00,2.922561E-01,-5.857321E-03,1.463785E+02,-5.501400E+01,7.618304E+00,-4.639771E-01,9.416110E-03
alpha_110,a,-8.518457E+04,2.794467E+04,-3.582669E+03,1.439684E+02,-3.291069E+00,1.473981E+06,-6.367517E+05,9.603977E+04,-5.886280E+03,1.252324E+02,-8.437237E+06,3.705117E+06,-5.728013E+05,3.648459E+04,-7.875363E+02,1.505757E+07,-6.437221E+06,9.829169E+05,-6.297499E+04,1.383257E+03
